Title,Rating,Address,Directions,Contact,Web Link
"DIANA CAMPOS - Makeup Artist and Hair Stylist - Los Angeles, Ca.","5.0
(30)",,"https://www.google.com/maps/place/DIANA+CAMPOS+-+Makeup+Artist+and+Hair+Stylist+-+Los+Angeles,+Ca./data=!4m7!3m6!1s0x80c299594b94d6f1:0x9855a4a935523ae0!8m2!3d36.7232685!4d-97.5691724!16s%2Fg%2F11ckqrfr_t!19sChIJ8daUS1mZwoAR4DpSNamkVZg?authuser=0&hl=en&rclk=1","
+1 213-570-2037",http://www.dianacamposmakeup.com/
Ruth B Medrano Beauty - Los Angeles Makeup Artist & Hairstylist (Mobile),"5.0
(30)","
5239 Vineland Ave, North Hollywood, CA 91606, United States",https://www.google.com/maps/place/Ruth+B+Medrano+Beauty+-+Los+Angeles+Makeup+Artist+%26+Hairstylist+%28Mobile%29/data=!4m7!3m6!1s0x80c295975126d127:0xc1b5f0c29e050b90!8m2!3d34.1663281!4d-118.3705963!16s%2Fg%2F11k5vh9s9y!19sChIJJ9EmUZeVwoARkAsFnsLwtcE?authuser=0&hl=en&rclk=1,"
+1 323-332-9674",https://www.ruthbmedrano.com/
Amy H Makeup,"5.0
(102)","
6378 W 79th St, Westchester, CA 90045, United States",https://www.google.com/maps/place/Amy+H+Makeup/data=!4m7!3m6!1s0x80c2b1c3ad892573:0xe9b4924339f6fa9a!8m2!3d33.970243!4d-118.3994927!16s%2Fg%2F11gnq6xp74!19sChIJcyWJrcOxwoARmvr2OUOStOk?authuser=0&hl=en&rclk=1,"
+1 310-467-2393",http://www.amyhmakeup.com/
Jyz Makeup Artist + Session Hairstylist,"5.0
(82)",,https://www.google.com/maps/place/Jyz+Makeup+Artist+%2B+Session+Hairstylist/data=!4m7!3m6!1s0x80dd33fa6c64b459:0x4985388e9db40403!8m2!3d33.4360484!4d-117.9186111!16s%2Fg%2F11hbnq7nwl!19sChIJWbRkbPoz3YARAwS0nY44hUk?authuser=0&hl=en&rclk=1,"
+1 562-481-2276",http://www.jyzreyespadilla.com/
Makeup By Maryam - Orange County Based Published & Certified Makeup Artist,"4.9
(60)","
Deer Track, Irvine, CA 92618, United States",https://www.google.com/maps/place/Makeup+By+Maryam+-+Orange+County+Based+Published+%26+Certified+Makeup+Artist/data=!4m7!3m6!1s0x880fb6424754ddc1:0x1ec9cca590af27f3!8m2!3d33.7029742!4d-117.7209351!16s%2Fg%2F1hc2sxc2w!19sChIJwd1UR0K2D4gR8yevkKXMyR4?authuser=0&hl=en&rclk=1,"
+1 949-345-1913",http://www.makeupbymaryam.com/
Soreya Hair & Make-up Artist,"5.0
(28)",,https://www.google.com/maps/place/Soreya+Hair+%26+Make-up+Artist/data=!4m7!3m6!1s0x80c2bd8a766fe911:0x821a38bd9e1c6fb5!8m2!3d36.099146!4d-120.5227419!16s%2Fg%2F11bbw_jvnm!19sChIJEelvdoq9woARtW8cnr04GoI?authuser=0&hl=en&rclk=1,"
+1 213-290-4034",http://www.soreyayann.com/
Bay Area Wedding Makeup & Bridal Makeup Artists,"5.0
(34)","
Exclusively Offering Mobile Makeup Services, 1555 Camino Del Mar #203, Del Mar, CA 92014, United States",https://www.google.com/maps/place/Bay+Area+Wedding+Makeup+%26+Bridal+Makeup+Artists/data=!4m7!3m6!1s0x808f9d8aeba41ea5:0x3408f66205456b62!8m2!3d37.0901025!4d-121.8761746!16s%2Fg%2F11gl00g1m3!19sChIJpR6k64qdj4ARYmtFBWL2CDQ?authuser=0&hl=en&rclk=1,"
+1 650-770-2376",
Lili Makeup Artist,"5.0
(14)",,https://www.google.com/maps/place/Lili+Makeup+Artist/data=!4m7!3m6!1s0x80c2f97f17f30dcf:0x7ce7532497af2ffc!8m2!3d35.9461995!4d-117.9456255!16s%2Fg%2F11jfqfg044!19sChIJzw3zF3_5woAR_C-vlyRT53w?authuser=0&hl=en&rclk=1,"
+1 323-628-3232",
Makeup By Natalie,"5.0
(77)",,https://www.google.com/maps/place/Makeup+By+Natalie/data=!4m7!3m6!1s0x80c29f33ab85d895:0xc10709889ba76586!8m2!3d34.020479!4d-118.4778545!16s%2Fg%2F11k2c_wclp!19sChIJldiFqzOfwoARhmWnm4gJB8E?authuser=0&hl=en&rclk=1,"
+1 818-835-6323",https://linktr.ee/Makeupbynatalie
Fairytale Hair and Makeup,"5.0
(35)","
146 Kennedy Ave, Ventura, CA 93003, United States",https://www.google.com/maps/place/Fairytale+Hair+and+Makeup/data=!4m7!3m6!1s0x80c29a436779dcdd:0x4abcea6f8ed477c0!8m2!3d34.279341!4d-119.1937079!16s%2Fg%2F1ptyh15dc!19sChIJ3dx5Z0OawoARwHfUjm_qvEo?authuser=0&hl=en&rclk=1,"
+1 877-324-7977",https://www.fairytalehairandmakeup.com/
Twisted Fishtail Beauty Collective,"5.0
(100)","
146 Kennedy Ave, Ventura, CA 93003, United States",https://www.google.com/maps/place/Twisted+Fishtail+Beauty+Collective/data=!4m7!3m6!1s0x809aa18d8f052391:0x2f40d3f9f9b98b19!8m2!3d38.1150802!4d-121.2877352!16s%2Fg%2F11jsp2zhn6!19sChIJkSMFj42hmoARGYu5-fnTQC8?authuser=0&hl=en&rclk=1,"
+1 209-304-4995",https://www.twistedfishtailhairandbridal.com/
jessica lee,"5.0
(21)","
1110 W Kettleman Ln #33, Lodi, CA 95240, United States",https://www.google.com/maps/place/jessica+lee/data=!4m7!3m6!1s0x80c2b8852cf59555:0x24a25b0cc6926aab!8m2!3d34.0697269!4d-118.3075096!16s%2Fg%2F11g8yl5yy7!19sChIJVZX1LIW4woARq2qSxgxboiQ?authuser=0&hl=en&rclk=1,"
+1 213-700-0004",
T.E Makeup Artist & Hairstylist LLC,"5.0
(67)","
415 N Camden Dr Ste 111 #559, Beverly Hills, CA 90210, United States",https://www.google.com/maps/place/T.E+Makeup+Artist+%26+Hairstylist+LLC/data=!4m7!3m6!1s0x80c2beb377bf91f5:0x135b261d58a7c99b!8m2!3d34.0688088!4d-118.4044895!16s%2Fg%2F11f3dlr0l6!19sChIJ9ZG_d7O-woARm8mnWB0mWxM?authuser=0&hl=en&rclk=1,"
+1 424-653-0344",https://www.tatiyana.com/
Makeup By Janelle,"4.9
(43)","
415 N Camden Dr Ste 111 #559, Beverly Hills, CA 90210, United States",https://www.google.com/maps/place/Makeup+By+Janelle/data=!4m7!3m6!1s0x80953e8bee215255:0x259e9bc5210e8a5c!8m2!3d38.4890891!4d-120.4686746!16s%2Fg%2F1hc1zyndc!19sChIJVVIh7os-lYARXIoOIcWbniU?authuser=0&hl=en&rclk=1,"
+1 424-653-0344",
Makeup by Dina,"5.0
(50)","
27260 Los Altos unit 833, Mission Viejo, CA 92691, United States",https://www.google.com/maps/place/Makeup+by+Dina/data=!4m7!3m6!1s0x80dcef7866bd7e1d:0x4190f4b12f8a3346!8m2!3d33.5678027!4d-117.6672217!16s%2Fg%2F11fjw0f1sp!19sChIJHX69Znjv3IARRjOKL7H0kEE?authuser=0&hl=en&rclk=1,"
+1 571-251-3224",http://www.makeupbydina.com/
MakeupStarStudio,"5.0
(22)","
60 Descanso Dr, San Jose, CA 95134, United States",https://www.google.com/maps/place/MakeupStarStudio/data=!4m7!3m6!1s0x808fc97cb59a6a31:0xd75d72a6d64c7eb4!8m2!3d37.4058868!4d-121.9398005!16s%2Fg%2F11qqq31vqp!19sChIJMWqatXzJj4ARtH5M1qZyXdc?authuser=0&hl=en&rclk=1,"
+1 415-696-0258",http://www.makeupstarstudio.com/
Angela Mobile Makeup,"4.9
(80)","
60 Descanso Dr, San Jose, CA 95134, United States",https://www.google.com/maps/place/Angela+Mobile+Makeup/data=!4m7!3m6!1s0x80c2bfe28357b35f:0x6064e690b4c907a2!8m2!3d33.786671!4d-118.2990476!16s%2Fg%2F12hmmw744!19sChIJX7NXg-K_woARogfJtJDmZGA?authuser=0&hl=en&rclk=1,"
+1 415-696-0258",https://angelamobilemakeup.com/
MUST MakeUp By Sung Team,"5.0
(28)","
3130 Wilshire Blvd Suite 216, Los Angeles, CA 90005, United States",https://www.google.com/maps/place/MUST+MakeUp+By+Sung+Team/data=!4m7!3m6!1s0x80c2b891912f537d:0xd56822184099d65b!8m2!3d34.0614728!4d-118.289846!16s%2Fg%2F11c58nkgmx!19sChIJfVMvkZG4woARW9aZQBgiaNU?authuser=0&hl=en&rclk=1,"
+1 714-396-9990",
Cristal Stephani Makeup Artist,"4.8
(18)","
3130 Wilshire Blvd Suite 216, Los Angeles, CA 90005, United States",https://www.google.com/maps/place/Cristal+Stephani+Makeup+Artist/data=!4m7!3m6!1s0x808e6bf8f1d3255d:0x1da5fb5ed9c019b3!8m2!3d36.9706666!4d-122.0251338!16s%2Fg%2F11r3mcz9gd!19sChIJXSXT8fhrjoARsxnA2V77pR0?authuser=0&hl=en&rclk=1,"
+1 714-396-9990",http://www.cristalstephani.com/
Makeup Artist Wendy C,"5.0
(26)","
Pacific Ave, Santa Cruz, CA 95060, United States",https://www.google.com/maps/place/Makeup+Artist+Wendy+C/data=!4m7!3m6!1s0x80c28665b568ebc1:0xe9427fb9619038d!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11f4qcnxr2!19sChIJwetotWWGwoARjQMZlvsnlA4?authuser=0&hl=en&rclk=1,"
+1 916-757-5031",https://www.makeupartistwendyc.com/services-inquiry
Sacramento Makeup Design Studio,"5.0
(22)","
100 Gateway Dr Suite 100, Lincoln, CA 95648, United States",https://www.google.com/maps/place/Sacramento+Makeup+Design+Studio/data=!4m7!3m6!1s0x809b22aed64b5525:0xf945da0c4295283e!8m2!3d38.8844125!4d-121.2925425!16s%2Fg%2F11btvlc3t2!19sChIJJVVL1q4im4ARPiiVQgzaRfk?authuser=0&hl=en&rclk=1,"
+1 530-859-2563",http://www.sacramentomakeupstudio.com/
Hollywood Makeup Studio,"4.6
(36)","
100 Gateway Dr Suite 100, Lincoln, CA 95648, United States",https://www.google.com/maps/place/Hollywood+Makeup+Studio/data=!4m7!3m6!1s0x80c2b90567665537:0xf19c04a063852a02!8m2!3d34.0485036!4d-118.3571722!16s%2Fg%2F11b5pjdmnv!19sChIJN1VmZwW5woARAiqFY6AEnPE?authuser=0&hl=en&rclk=1,"
+1 530-859-2563",http://www.sacramentomakeupstudio.com/
Brianna Macias & Company - Beauty Team,"5.0
(16)","
5450 W Pico Blvd Suite 104, Los Angeles, CA 90019, United States",https://www.google.com/maps/place/Brianna+Macias+%26+Company+-+Beauty+Team/data=!4m7!3m6!1s0x80dcd98f978894e5:0x4e5388d74077db82!8m2!3d36.714202!4d-111.6338785!16s%2Fg%2F11h7g4tdnr!19sChIJ5ZSIl4_Z3IARgtt3QNeIU04?authuser=0&hl=en&rclk=1,"
+1 323-932-9100",https://hollywoodmakeupstudio.net/
GLOSS Makeup and Beauty Studio,"5.0
(62)","
9867 S Santa Monica Blvd, Beverly Hills, CA 90212, United States",https://www.google.com/maps/place/GLOSS+Makeup+and+Beauty+Studio/data=!4m7!3m6!1s0x80c2bbf5e6a31625:0x2c7bae550d6c9af9!8m2!3d34.0662036!4d-118.4110174!16s%2Fg%2F1q6712k93!19sChIJJRaj5vW7woAR-ZpsDVWueyw?authuser=0&hl=en&rclk=1,"
+1 310-553-6505",http://www.glossbh.com/
Makeup by Samantha Keefauver | Destination Makeup Artist,"5.0
(61)","
9867 S Santa Monica Blvd, Beverly Hills, CA 90212, United States",https://www.google.com/maps/place/Makeup+by+Samantha+Keefauver+%7C+Destination+Makeup+Artist/data=!4m7!3m6!1s0x808448f90ea22f27:0x2f3c88b5c5302658!8m2!3d37.2691675!4d-105.252761!16s%2Fg%2F11g68zpvyh!19sChIJJy-iDvlIhIARWCYwxbWIPC8?authuser=0&hl=en&rclk=1,"
+1 310-553-6505",http://www.samanthakeefauver.com/
Makeup the Bride,"5.0
(44)",,https://www.google.com/maps/place/Makeup+the+Bride/data=!4m7!3m6!1s0x80c29d52d9928bb3:0x9f05254f2d65831d!8m2!3d33.980845!4d-118.1513016!16s%2Fg%2F11qymjc5w1!19sChIJs4uS2VKdwoARHYNlLU8lBZ8?authuser=0&hl=en&rclk=1,"
+1 818-384-7024",https://www.makeupthebride.com/
Refined Beauty Inc.,"5.0
(33)",,https://www.google.com/maps/place/Refined+Beauty+Inc./data=!4m7!3m6!1s0x80dc0756ff5585a7:0xf078a5bd501465ce!8m2!3d40.9712729!4d-101.1572775!16s%2Fg%2F11c2qh_q7v!19sChIJp4VV_1YH3IARzmUUUL2lePA?authuser=0&hl=en&rclk=1,"
+1 858-522-0283",https://www.refinedbeautyinc.com/
Makeup By Danya,"5.0
(20)","
3150 18th St #411, San Francisco, CA 94110, United States",https://www.google.com/maps/place/Makeup+By+Danya/data=!4m7!3m6!1s0x80db8ab2c2d31d37:0xc691334661f3cf4e!8m2!3d33.0169285!4d-116.8460104!16s%2Fg%2F1q6n2zh19!19sChIJNx3TwrKK24ARTs_zYUYzkcY?authuser=0&hl=en&rclk=1,"
+1 760-780-8191",https://www.danyamuir.com/
Beauty by Sofia Bee,"5.0
(26)",,https://www.google.com/maps/place/Beauty+by+Sofia+Bee/data=!4m7!3m6!1s0x808fbb9f0be38b5f:0x99389013e140116c!8m2!3d37.243481!4d-121.9611521!16s%2Fg%2F11h0hqhdfg!19sChIJX4vjC5-7j4ARbBFA4ROQOJk?authuser=0&hl=en&rclk=1,"
+1 408-623-6325",https://beautybysofiabee.com/
