Title,Rating,Address,Directions,Contact,Web Link,SitemapExists,ContactPageURL,Emails,Phones,ContactPersons,OtherInfo
Cali Coast Electric,"4.9
(305)","
29859 Camino Cristal, Menifee, CA 92584, United States",https://www.google.com/maps/place/Cali+Coast+Electric/data=!4m7!3m6!1s0x80db633bfba72943:0xd7253906e06407c8!8m2!3d33.688913!4d-117.157011!16s%2Fg%2F11fsswqh4r!19sChIJQymn-ztj24ARyAdk4AY5Jdc?authuser=0&hl=en&rclk=1,"
+1 951-233-4113",https://www.calicoastelectric.com/,True,,,,,{}
CA Electrical Group,"4.9
(60)",,https://www.google.com/maps/place/CA+Electrical+Group/data=!4m7!3m6!1s0x808fcb706c1ad17d:0xc83ced4b364f376a!8m2!3d37.3968842!4d-121.9137654!16s%2Fg%2F11gnpp7h1j!19sChIJfdEabHDLj4ARajdPNkvtPMg?authuser=0&hl=en&rclk=1,"
+1 669-260-0712",https://www.caelectricalgroup.com/,True,,,,,{}
The Electric Company,"4.8
(138)",,https://www.google.com/maps/place/The+Electric+Company/data=!4m7!3m6!1s0x8091b34239bfc2f3:0x7cc4ef48f647f36b!8m2!3d37.57964!4d-121.146961!16s%2Fg%2F11h59rz56r!19sChIJ88K_OUKzkYARa_NH9kjvxHw?authuser=0&hl=en&rclk=1,"
+1 209-396-4715",http://www.theelectricco.net/?utm_source=gmb,False,http://www.theelectricco.net/contact-us,,,,{}
Turn Electric,"4.9
(511)","
17079 Kingsbury St, Granada Hills, CA 91344, United States",https://www.google.com/maps/place/Turn+Electric/data=!4m7!3m6!1s0x80c29a94118e7db3:0xf51fd4e238f4f8b0!8m2!3d34.2638642!4d-118.5050198!16s%2Fg%2F11b7rn2j4b!19sChIJs32OEZSawoARsPj0OOLUH_U?authuser=0&hl=en&rclk=1,"
+1 818-378-4337",http://www.turnelectric.com/,False,,,,,{}
Express Electrical Services,"5.0
(368)",,https://www.google.com/maps/place/Express+Electrical+Services/data=!4m7!3m6!1s0x80c2c9e6aaaaaaab:0x37625e8cd561b5fa!8m2!3d34.0172218!4d-118.1553534!16s%2Fg%2F1tgtfs51!19sChIJq6qqqubJwoAR-rVh1YxeYjc?authuser=0&hl=en&rclk=1,"
+1 323-275-4082",https://expresselectricalservices.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*085*express-electrical-los-angeles,False,,,,,{}
Direct Electric Company,"4.9
(2,944)",,https://www.google.com/maps/place/Direct+Electric+Company/data=!4m7!3m6!1s0x80dc82e3ede7e215:0xac563a0d9a490e9d!8m2!3d33.5431894!4d-117.1928479!16s%2Fg%2F1tdqz_rt!19sChIJFeLn7eOC3IARnQ5Jmg06Vqw?authuser=0&hl=en&rclk=1,"
+1 951-200-5262",https://www.directelectricco.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,True,,customercare@directelectricco.com,(951) 200-5262,,"{""address"": ""25695 Jefferson Ave, Suite 17 Murrieta CA 92562"", ""social_media"": {""facebook"": """", ""instagram"": """", ""google"": """"}}"
Household Electric Inc.,"4.8
(25)",,https://www.google.com/maps/place/Household+Electric+Inc./data=!4m7!3m6!1s0x80945b5b9f7f6d0b:0xf73edb70785764!8m2!3d36.8055174!4d-119.7732345!16s%2Fg%2F1w_vnh_7!19sChIJC21_n1tblIARZFd4cNs-9wA?authuser=0&hl=en&rclk=1,"
+1 559-240-4499",https://householdelectricca.com/,True,,,(559) 240-4499,,"{""address"": ""Clovis, CA 93619"", ""social_media"": {}}"
Red Electricians Malibu,"4.6
(68)","
221 Park Rd #1630, Burlingame, CA 94010, United States",https://www.google.com/maps/place/Red+Electricians+Malibu/data=!4m7!3m6!1s0x80c361cff85d91bf:0xb83eb38f6f2cc0ff!8m2!3d34.007049!4d-118.750287!16s%2Fg%2F113hw_hrq!19sChIJv5Fd-M9hw4AR_8Asb4-zPrg?authuser=0&hl=en&rclk=1,"
+1 310-388-4146",http://redelectricians.com/Malibu-electrician/,False,http://redelectricians.com/Malibu-electrician/contact,,(833) 253-6787,,{}
Alex & Alex Electrical Services,"4.9
(12)","
3521 S Bentley Ave, Los Angeles, CA 90034, United States",https://www.google.com/maps/place/Alex+%26+Alex+Electrical+Services/data=!4m7!3m6!1s0x80c2b98462fcf1fd:0xa9366a55f3308a96!8m2!3d34.0193358!4d-118.4205318!16s%2Fg%2F11jct05kcb!19sChIJ_fH8YoS5woARloow81VqNqk?authuser=0&hl=en&rclk=1,"
+1 310-905-5050",http://www.alexelectrician.com/,False,,,,,{}
Express Electrical Services,"5.0
(93)","
3521 S Bentley Ave, Los Angeles, CA 90034, United States",https://www.google.com/maps/place/Express+Electrical+Services/data=!4m7!3m6!1s0x80dcd9e64bf40c21:0x6279aef343d656b3!8m2!3d33.7508428!4d-117.8678196!16s%2Fg%2F11ghpv9ws5!19sChIJIQz0S-bZ3IARs1bWQ_OueWI?authuser=0&hl=en&rclk=1,"
+1 714-243-8857",https://expresselectricalservices.com/orange-county-electrician/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*086*express-electrical-santa-ana,False,,,,,{}
